current,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle,device,num_workers,normalize
Test,5,2,0.28110164403915405,0.8973,1.711949348449707,74.09270763397217,,1000,True,cuda,1,normal
Train,5,11,0.21128983646631241,0.9214166666666667,6.851209878921509,81.10105729103088,0.01,2000,True,cuda,1,normal
Train,5,12,0.2090842584768931,0.92195,6.582547903060913,87.86323761940002,0.01,2000,True,cuda,1,normal
Train,5,13,0.20084764957427978,0.9246166666666666,6.676790714263916,94.70993947982788,0.01,2000,True,cuda,1,normal
Train,5,14,0.19689538578192392,0.9260833333333334,6.73263955116272,101.76483011245728,0.01,2000,True,cuda,1,normal
Train,5,15,0.18952658077081044,0.9278833333333333,6.629138231277466,108.59971451759338,0.01,2000,True,cuda,1,normal
Test,5,3,0.30406995862722397,0.8951,1.619119644165039,110.40670680999756,,1000,True,cuda,1,normal
Train,5,16,0.1879720096786817,0.9288833333333333,6.603081703186035,117.09974074363708,0.01,2000,True,cuda,1,normal
Train,5,17,0.1797091911236445,0.9326333333333333,6.6598687171936035,123.94094038009644,0.01,2000,True,cuda,1,normal
Train,5,18,0.17227012813091278,0.9356333333333333,6.798924446105957,130.93658447265625,0.01,2000,True,cuda,1,normal
Train,5,19,0.16797401408354443,0.9362666666666667,6.689778089523315,137.94508862495422,0.01,2000,True,cuda,1,normal
Train,5,20,0.16768997857968013,0.9372166666666667,6.686776638031006,144.83095145225525,0.01,2000,True,cuda,1,normal
Test,5,4,0.3188174396753311,0.8937,1.6201269626617432,146.6542375087738,,1000,True,cuda,1,normal
Train,6,1,0.73082441786925,0.7297833333333333,4.7108473777771,6.497693061828613,0.01,2000,True,cuda,1,no_normal
Train,6,2,0.38555982808272043,0.8565,4.739021062850952,11.420904874801636,0.01,2000,True,cuda,1,no_normal
Train,6,3,0.3229423413674037,0.8793333333333333,4.894474029541016,16.51657199859619,0.01,2000,True,cuda,1,no_normal
Train,6,4,0.29734713286161424,0.8892666666666666,4.95682954788208,21.66113305091858,0.01,2000,True,cuda,1,no_normal
Train,6,5,0.27453402429819107,0.89815,4.719327449798584,26.561729669570923,0.01,2000,True,cuda,1,no_normal
Test,6,1,0.38045009672641755,0.8641,1.5910277366638184,28.3344509601593,,1000,True,cuda,1,normal
Train,6,6,0.2651491309205691,0.9010666666666667,4.603981971740723,33.021414041519165,0.01,2000,True,cuda,1,no_normal
Train,6,7,0.2477452556292216,0.90745,4.649476051330566,37.87435483932495,0.01,2000,True,cuda,1,no_normal
Train,6,8,0.2405087321996689,0.9100166666666667,4.697615146636963,42.76521944999695,0.01,2000,True,cuda,1,no_normal
Train,6,9,0.23385339379310607,0.91285,4.6930670738220215,47.630165576934814,0.01,2000,True,cuda,1,no_normal
Train,6,10,0.22070164730151495,0.9165166666666666,4.817021369934082,52.63435673713684,0.01,2000,True,cuda,1,no_normal
Test,6,2,0.36152643263339995,0.8763,1.6271846294403076,54.45544457435608,,1000,True,cuda,1,normal
Train,6,11,0.21333959897359211,0.9201833333333334,4.756249666213989,59.318883657455444,0.01,2000,True,cuda,1,no_normal
Train,6,12,0.21053247451782225,0.9209833333333334,4.881173133850098,64.42021656036377,0.01,2000,True,cuda,1,no_normal
Train,6,13,0.20023864756027857,0.9238,4.585538387298584,69.21030783653259,0.01,2000,True,cuda,1,no_normal
Train,6,14,0.19432481825351716,0.92605,4.5635085105896,73.98059296607971,0.01,2000,True,cuda,1,no_normal
Train,6,15,0.18602341016133625,0.9296166666666666,4.67094874382019,78.82194495201111,0.01,2000,True,cuda,1,no_normal
Test,6,3,0.4052255809307098,0.8737,1.5901238918304443,80.67222189903259,,1000,True,cuda,1,normal
Train,6,16,0.18263714462518693,0.9314166666666667,4.618412017822266,85.3749258518219,0.01,2000,True,cuda,1,no_normal
Train,6,17,0.18107137779394786,0.9305166666666667,4.6542112827301025,90.20671367645264,0.01,2000,True,cuda,1,no_normal
Train,6,18,0.1761762708425522,0.9333,4.607388019561768,94.98631024360657,0.01,2000,True,cuda,1,no_normal
Train,6,19,0.17018905033667883,0.9348166666666666,4.6173059940338135,99.79906678199768,0.01,2000,True,cuda,1,no_normal
Train,6,20,0.16574048151572546,0.9373666666666667,4.725346088409424,104.71696066856384,0.01,2000,True,cuda,1,no_normal
Test,6,4,0.41671513617038725,0.8754,1.5882501602172852,106.48986768722534,,1000,True,cuda,1,normal
Train,7,1,0.6912293215592702,0.7543166666666666,6.628215551376343,8.537216424942017,0.01,2000,False,cuda,1,normal
